		2024-07-10	2024-08-20	2024-09-11	2024-09-20	2024-10-04	2024-10-07	2024-10-11	2024-10-21	2024-11-07	2024-11-11	2024-11-15	2024-11-24	2024-12-03
Roof Restoration Langwarrin		-	43	44	45	43	43	44	47	51	54	53	52	50
Roof Restoration Frankston		-	-	84	-	75	73	77	93	-	96	75	93	90
Roof Restoration Beaconsfield		-	54	48	44	33	33	32	36	29	29	32	30	32
Roof Restoration Skye		-	-	19	23	27	27	25	22	31	29	29	28	29
Roof Restoration Harkaway		-	41	16	17	19	13	16	15	20	18	19	17	18
Roof Restoration Cardinia		-	-	11	8	9	14	11	24	16	17	19	9	16
Roof Restoration Garfield		-	-	11	10	11	11	4	13	10	11	12	9	10
Roof Restoration Berwick		-	-	37	82	37	39	40	46	58	56	56	50	49
Roof Restoration Pakenham		-	52	50	17	41	39	39	59	66	69	63	20	21
Roof Restoration Warragul		-	-	27	27	26	27	23	26	27	26	27	26	24
Roof Restoration Drouin		-	-	13	17	13	13	14	14	15	17	17	15	16
Roof Restoration Knoxfield		-	-	29	29	32	31	32	33	36	32	33	33	33
Roof Restoration Dandenong		-	-	68	70	53	54	52	63	87	87	84	67	78
Roof Restoration Glen Waverley		-	-	66	62	62	58	54	57	83	85	95	87	87
Roof Restoration Seaford		-	-	-	37	40	44	37	44	52	42	48	50	49
Roof Restoration Cranbourne		-	-	-	57	59	48	51	57	64	67	72	63	63
Roof Restoration Narre Warren		-	-	80	67	67	59	61	66	68	64	64	62	60
Roof Restoration Hallam		-	36	36	36	23	22	20	34	34	34	32	27	34
Roof Restoration Keysborough		-	34	31	32	24	26	27	29	36	38	41	29	39
Roof Restoration Ferntree Gully		-	-	45	56	45	38	38	54	67	67	61	55	53
Roof Restoration Mount Evelyn		-	54	20	25	22	25	23	25	25	25	27	28	21
Roof Restoration Croydon		-	94	59	53	52	52	54	57	79	88	91	73	80
Roof Restoration Ringwood		-	-	58	72	65	72	66	69	76	78	76	58	63
Roof Restoration Bayswater		-	59	49	53	48	47	44	49	61	56	57	49	53
Roof Restoration Box Hill		-	-	56	54	50	47	45	57	65	63	59	60	60
Roof Restoration Clayton		-	-	84	31	42	39	33	42	49	48	45	41	40
Roof Restoration Rowville		-	-	50	85	44	42	42	48	51	52	56	47	50
Roof Restoration Springvale		-	51	35	35	35	35	36	34	43	41	44	35	37
Roof Restoration Carrum Downs		-	-	33	34	23	24	25	36	41	42	46	36	37
Roof Restoration Lilydale		-	22	30	20	19	22	21	25	33	33	26	24	25
Gutter Replacement Frankston		-	-	31	27	39	42	40	49	36	39	36	31	29
Gutter Replacement Berwick		-	-	-	-	-	16	15	30	26	31	25	23	23
Gutter Replacement Knoxfield		-	-	10	17	15	19	18	16	18	16	21	20	19
Gutter Replacement Dandenong		-	-	37	27	23	25	24	35	40	40	40	21	23
Gutter Replacement Glen Waverley		-	-	38	37	16	15	15	12	43	21	40	21	20
Gutter Replacement Cranbourne		-	-	40	22	22	20	20	25	42	27	28	25	26
Gutter Replacement Narre Warren		-	-	18	17	19	23	19	34	37	23	21	16	19
Gutter Replacement Ferntree Gully		-	-	34	20	24	22	18	14	23	21	24	22	23
Gutter Replacement Mount Evelyn		-	-	-	31	7	6	7	14	15	11	17	9	9
Gutter Replacement Croydon		-	-	42	46	45	14	15	13	42	49	47	19	19
Gutter Replacement Ringwood		-	-	30	32	24	30	31	37	33	32	30	30	21
Gutter Replacement Clayton		-	-	15	37	38	34	19	20	44	13	17	16	20
Gutter Replacement Rowville		-	-	17	16	13	17	15	42	24	22	24	20	21
Gutter Replacement Springvale		-	67	40	25	25	22	23	26	40	28	29	26	25
Gutter Replacement Carrum Downs		-	-	37	23	21	21	21	23	19	22	27	26	28