		2024-05-21	2024-06-13	2024-07-16	2024-08-15	2024-09-05	2024-09-24	2024-10-18	2024-11-06	2024-12-02
brow lamination brighton		-	-	3	2	2	2	3	4	4
brow lamination bentleigh east		-	-	4	4	3	2	2	2	2
brow lamination cheltenham		-	-	3	3	2	2	3	4	4
brow lamination hampton		-	-	11	9	9	9	10	9	8
brow lamination highett		-	-	4	2	1	1	1	2	1
brow lamination moorabbin		4	2	1	1	1	1	1	1	1
brow lamination oakleigh		-	-	4	5	4	5	5	4	6
brow lamination bentleigh		-	-	4	3	4	3	2	2	3
lip tattooing brighton		-	-	2	3	3	2	4	4	4
lip tattooing bentleigh east		-	-	1	1	1	1	2	2	1
lip tattooing cheltenham		-	-	3	3	2	1	2	2	3
lip tattooing hampton		-	-	1	2	2	1	1	1	2
lip tattooing highett		-	-	1	1	1	1	1	2	2
lip tattooing moorabbin		-	2	1	1	1	1	1	1	2
lip tattooing oakleigh		-	-	1	1	1	1	1	1	1
lip tattooing bentleigh		-	-	1	1	1	1	2	2	1
cosmetic tattooing brighton		-	-	12	7	5	5	6	6	9
cosmetic tattooing bentleigh east		-	-	2	2	2	2	2	2	2
cosmetic tattooing cheltenham		-	-	2	2	1	1	1	1	1
cosmetic tattooing hampton		-	-	1	2	2	2	2	1	2
cosmetic tattooing highett		-	-	1	1	1	1	1	1	1
cosmetic tattooing moorabbin		-	1	1	1	1	1	1	1	2
cosmetic tattooing oakleigh		-	-	1	1	1	1	1	2	2
cosmetic tattooing bentleigh		-	-	2	2	2	2	2	2	3
lash lift brighton		-	-	6	4	3	4	4	4	2
lash lift bentleigh east		-	-	3	10	3	2	2	2	2
lash lift cheltenham		-	-	11	5	6	5	3	6	7
lash lift hampton		-	-	8	9	9	7	9	11	11
lash lift highett		-	-	6	4	3	3	3	3	3
lash lift moorabbin		14	8	3	3	3	3	3	4	3
lash lift oakleigh		-	-	14	7	6	4	5	5	6
lash lift bentleigh		-	-	5	6	4	2	3	3	2
brow lamination blackrock		-	-	-	-	-	-	1	1	2
brow lamination brighton east		-	-	-	-	2	3	3	3	3
brow lamination mentone		-	-	-	-	-	-	5	2	4
brow lamination elwood		-	-	-	-	-	-	4	3	4
brow lamination malvern		-	-	-	-	-	-	11	7	9
lip tattooing blackrock		-	-	-	-	-	-	1	1	2
lip tattooing brighton east		-	-	-	-	4	3	3	3	2
lip tattooing mentone		-	-	-	-	-	-	1	1	1
lip tattooing elwood		-	-	-	-	-	-	1	1	1
lip tattooing malvern		-	-	-	-	-	-	2	4	3
cosmetic tattooing blackrock		-	-	-	-	-	-	1	1	3
cosmetic tattooing brighton east		-	-	-	-	10	9	7	5	4
cosmetic tattooing mentone		-	-	-	-	-	-	2	2	1
cosmetic tattooing elwood		-	-	-	-	-	-	1	1	1
cosmetic tattooing malvern		-	-	-	-	-	-	20	4	3
lash lift blackrock		-	-	-	-	-	-	2	1	1
lash lift brighton east		-	-	-	-	5	5	3	4	2
lash lift mentone		-	-	-	-	-	-	5	8	7
lash lift elwood		-	-	-	-	-	-	6	6	8
lash lift malvern		-	-	-	-	-	-	13	12	12
pigmentation removal bentleigh east		-	-	-	-	-	-	-	-	-
pigmentation removal bentleigh		-	-	-	-	-	-	-	-	-
pigmentation removal black rock		-	-	-	-	-	-	-	-	-
pigmentation removal brighton east		-	-	-	-	-	-	-	-	-
pigmentation removal clayton		-	-	-	-	-	-	-	-	-
pigmentation removal hampton		-	-	-	-	-	-	-	-	-
pigmentation removal highett		-	-	-	-	-	-	-	-	-
pigmentation removal mentone		-	-	-	-	-	-	-	-	34
pigmentation removal moorabbin		-	-	-	-	-	-	-	-	41
pigmentation removal oakleigh		-	-	-	-	-	-	-	-	-
body sculpting bentleigh east		-	-	-	-	-	-	-	-	26
body sculpting bentleigh		-	-	-	-	-	-	-	-	31
body sculpting black rock		-	-	-	-	-	-	-	-	-
body sculpting brighton east		-	-	-	-	-	-	-	-	-
body sculpting clayton		-	-	-	-	-	-	-	-	-
body sculpting hampton		-	-	-	-	-	-	-	-	-
body sculpting highett		-	-	-	-	-	-	-	-	30
body sculpting mentone		-	-	-	-	-	-	-	-	26
body sculpting moorabbin		-	-	-	-	-	-	-	-	31
body sculpting oakleigh		-	-	-	-	-	-	-	-	33
laser hair removal bentleigh east		-	-	-	-	-	-	-	-	-
laser hair removal bentleigh		-	-	-	-	-	-	-	-	-
laser hair removal black rock		-	-	-	-	-	-	-	-	-
laser hair removal brighton east		-	-	-	-	-	-	-	-	-
laser hair removal clayton		-	-	-	-	-	-	-	-	-
laser hair removal hampton		-	-	-	-	-	-	-	-	-
laser hair removal highett		-	-	-	-	-	-	-	-	-
laser hair removal mentone		-	-	-	-	-	-	-	-	-
laser hair removal moorabbin		-	-	-	-	-	-	-	-	-
laser hair removal oakleigh		-	-	-	-	-	-	-	-	-
morpheus 8 treatment bentleigh east		-	-	-	-	-	-	-	-	-
morpheus 8 treatment bentleigh		-	-	-	-	-	-	-	-	-
morpheus 8 treatment black rock		-	-	-	-	-	-	-	-	-
morpheus 8 treatment brighton east		-	-	-	-	-	-	-	-	-
morpheus 8 treatment clayton		-	-	-	-	-	-	-	-	-
morpheus 8 treatment hampton		-	-	-	-	-	-	-	-	-
morpheus 8 treatment highett		-	-	-	-	-	-	-	-	-
morpheus 8 treatment mentone		-	-	-	-	-	-	-	-	-
morpheus 8 treatment moorabbin		-	-	-	-	-	-	-	-	-
morpheus 8 treatment oakleigh		-	-	-	-	-	-	-	-	-