		2021-11-18	2021-12-16	2022-01-20	2022-01-31	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-02	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-16	2023-12-14	2024-01-19	2024-02-14	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-10	2024-11-14
security services melbourne		-	-	-	88	68	48	46	11	5	2	2	3	3	1	2	1	3	2	1	1	2	1	2	1	2	2	4	5	6	2	3	11	11	9	16	25	27	34
security company melbourne		-	-	39	52	36	36	26	12	7	4	2	4	3	2	-	2	3	2	2	2	2	2	4	6	3	4	3	4	7	4	7	10	11	9	12	16	21	27
security guard services melbourne		-	54	39	46	35	25	25	11	7	4	4	2	1	1	1	1	1	1	1	3	3	1	1	3	3	3	2	2	8	2	6	10	11	10	14	20	16	25
security guards melbourne		-	-	-	-	58	48	37	17	10	9	7	9	6	4	11	5	5	2	4	3	4	5	8	11	10	11	12	14	12	8	-	44	26	28	33	39	42	49
security guard company melbourne		-	-	41	44	34	45	29	12	10	6	3	5	2	1	3	1	1	2	2	1	2	2	2	3	2	3	5	6	10	7	5	7	7	8	12	15	13	24
mobile patrols melbourne		-	18	14	15	6	8	9	10	11	9	8	2	2	2	3	4	4	4	4	3	4	1	1	1	2	2	2	3	2	2	3	3	3	6	6	6	5	5
security patrols melbourne		26	30	25	19	15	16	9	11	9	11	10	10	5	3	7	3	4	6	4	4	4	1	1	1	1	2	1	1	2	2	2	2	4	5	5	5	4	6
mobile security patrols melbourne		13	19	15	13	12	10	11	10	14	7	6	2	2	2	4	2	1	2	1	2	2	1	1	2	1	1	1	1	1	2	2	2	3	3	3	7	3	5
security patrol services melbourne		27	34	27	21	17	15	14	8	3	2	1	1	1	1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	4	7	4	10
mobile patrol security		34	49	8	11	3	4	8	6	8	7	9	8	8	3	6	7	4	6	4	4	6	5	3	2	4	1	2	5	1	1	2	2	1	1	1	6	78	8
alarm response melbourne		27	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	1	2	2	3	3	3	8	5	15	13
alarm response services		-	6	4	6	2	2	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	4	4	3	3	3	3	4
event security melbourne		31	23	18	12	8	6	12	11	12	11	15	11	11	9	10	5	3	4	4	5	5	6	7	5	7	6	6	8	5	9	10	7	10	7	10	6	8	9
event security services		-	-	-	27	10	13	11	11	11	13	25	13	75	10	16	10	7	4	6	15	6	7	7	6	9	7	8	13	6	10	10	12	14	13	14	5	5	4
asset protection security melbourne		1	1	2	1	1	1	3	1	1	1	1	2	1	1	1	2	1	1	2	2	2	5	4	6	6	8	5	8	6	8	7	9	5	4	4	5	5	9
asset protection security services		2	5	7	7	3	2	4	1	3	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	6	3	2	3	3	2	2	3	4	4	5
healthcare security services		-	-	7	9	7	5	5	7	8	2	2	7	5	3	2	3	2	3	3	3	3	2	3	3	4	6	5	9	9	1	11	8	8	17	26	13	-	16
hospital security melbourne		20	27	12	11	21	11	11	10	11	9	9	9	9	11	10	8	7	6	6	6	7	7	6	15	17	13	14	13	17	13	13	29	17	15	22	19	22	28
hotel security services melbourne		15	14	11	7	3	2	2	2	2	3	2	2	2	2	2	1	1	1	1	1	1	2	1	1	7	6	6	5	6	7	5	10	10	4	6	4	6	10
retail security services melbourne		3	8	6	7	8	9	4	4	7	11	2	6	6	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	10	11
security melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	7	4	8	6	5	6	15	30	33	35	44	43
security guards hire melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	99	91	84	83	88	95	94	94	89	84	70
private security guards		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	20	22	19	14	40	44	37	54	31	45	51	46
mobile patrol services		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	4	4	3	4	3	1	1	1	12	4
security services dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	1	1	3	1	3	3	3	3	3
security services pakenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	5	5	5	6	6	6
security services cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	11	39	3	2	2	2	2	2	2	1	1	1
security services seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	1	2	1	1	3	1	3	1
security services carrum downs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	2	2	2	1	2	1	2	1	2
security services bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52	47	-	4	1	1	2	1	1	1	3	1	1
security services boronia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1	1	1	2	1	1	1
security services mornington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	10	9	8	5	5	5	6	5	6
security services yarra ranges		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	1	1	1	1	1
security services kilsyth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	1	1	1	1	1	1	1	3
security services narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	1	1	1	1	2	2	2	2	2
security services croydon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	1	2	2	1	1	1	1	4
security services mulgrave		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	3	1	2	2	1	2	1	1	1
security services frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	1	1	2	1	1	1	1	2
security patrols dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	98	-	3	2	2	1	1	1	1	1	1	1
security patrols pakenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1	1	2
security patrols cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	6	4	2	1	1	2	1	2	1	1	1	2
security patrols seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
security patrols carrum downs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
security patrols bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	50	-	4	3	1	3	3	2	2	3	2	1
security patrols boronia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
security patrols mornington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	89	-	-	3	1	2	2	2	2	2	2	1	3
security patrols yarra ranges		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	45	67	1	1	1	1	1	1	1	1	1	1
security patrols kilsyth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	55	-	1	1	1	1	1	1	1	1	1	1
security patrols narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	68	-	67	2	2	1	1	1	2	1	2	1	1
security patrols croydon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	1	2	2	2	1	2	1	1
security patrols mulgrave		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	72	-	-	2	1	1	1	1	1	1	1	1	1
security patrols frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1	1	1	1
mobile patrols dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	94	-	-	1	1	1	1	1	1	1	1	1	1
mobile patrols pakenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	-	-	1	1	1	1	1	1	1	1	1	1
mobile patrols cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	11	10	1	1	1	1	1	1	1	1	1	1
mobile patrols seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
mobile patrols carrum downs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	8	11	1	1	1	1	1	1	1	1	1	1
mobile patrols bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
mobile patrols boronia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
mobile patrols mornington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69	-	-	1	1	1	1	1	1	1	1	1	1
mobile patrols yarra ranges		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	5	25	1	1	1	1	1	1	1	1	1	1
mobile patrols kilsyth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	90	-	1	1	1	1	1	1	1	1	1	1
mobile patrols narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	29	3	1	1	1	1	1	1	1	1	1	1
mobile patrols croydon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
mobile patrols mulgrave		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	99	1	1	1	1	1	1	1	1	1	1
mobile patrols frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
alarm response dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
alarm response pakenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	36	-	2	1	1	1	1	1	1	1	1	1
alarm response cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	16	13	2	1	1	1	1	1	1	1	1	1
alarm response seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
alarm response carrum downs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41	27	-	1	1	1	1	1	1	1	1	1	1
alarm response bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78	85	-	1	1	1	1	1	1	1	1	1	1
alarm response boronia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	-	1	1	1	1	1	1	1	1	1	1
alarm response mornington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	54	-	2	1	1	1	1	1	1	1	1	1
alarm response yarra ranges		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
alarm response kilsyth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	15	-	1	1	1	1	1	1	1	1	1	1
alarm response narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	59	-	1	1	1	1	1	1	1	1	1	1
alarm response croydon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	3	1	10	1
alarm response mulgrave		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
alarm response frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87	-	1	1	1	1	1	1	1	1	1	1