		2023-02-27	2023-03-16	2023-04-14	2023-05-15	2023-06-01	2023-06-14	2023-07-03	2023-07-06	2023-07-20	2023-08-17	2023-08-29	2023-09-15	2023-10-04	2023-10-23	2023-11-17	2023-11-28	2023-12-07	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-12	2024-08-27	2024-09-05	2024-09-09	2024-09-10	2024-09-11	2024-09-12	2024-09-13	2024-09-16	2024-09-17	2024-09-18	2024-09-19	2024-09-20	2024-09-23	2024-09-24	2024-09-26	2024-09-30	2024-10-01	2024-10-02	2024-10-03	2024-10-07	2024-10-09	2024-10-28	2024-11-14	2024-12-03
painters aberfeldie		-	-	-	-	-	-	62	62	62	72	63	70	9	31	18	1	1	1	8	8	5	5	5	5	9	31	28	28	27	27	26	26	26	27	27	26	29	27	23	22	28	28	27	27	24	26	17	22	31
painters albert park		-	-	-	-	-	-	-	-	-	-	-	-	9	11	53	10	12	15	20	17	14	12	14	17	19	39	42	42	43	43	44	44	45	44	44	44	44	41	42	42	45	-	46	46	44	46	29	41	54
painters brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	14	17	25	-	18	17	15	27	13	97	-	72	84	85	84	78	77	-	66	-	66	65	87	70	75	81	81	81	77	77	39	58	69
painters camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	23	20	18	35	27	-	27	22	33	47	73	67	67	67	67	66	67	61	63	63	-	64	61	61	61	66	68	69	42	70	70	63	78	98
painters canterbury		-	-	-	-	-	-	-	-	-	-	-	-	12	-	-	5	5	4	8	6	6	5	3	4	3	22	17	12	16	16	17	16	16	18	19	19	16	13	17	19	18	19	21	19	21	21	13	13	22
painters east melbourne		-	-	-	-	-	-	-	-	-	-	80	-	-	78	15	14	11	-	18	14	12	8	8	12	14	37	27	26	27	28	28	27	27	-	28	27	28	26	27	27	38	39	36	30	36	36	22	41	59
painters essendon		-	-	-	-	-	-	-	-	-	81	78	78	28	14	11	11	12	12	12	11	10	8	10	11	11	53	37	33	38	35	26	26	36	35	38	36	31	22	66	32	46	44	39	38	38	36	24	47	48
painters glen iris		-	-	-	-	-	-	-	-	78	81	84	79	60	52	54	9	8	12	14	8	8	8	16	18	30	49	45	49	50	51	50	47	49	47	47	47	47	42	88	47	53	49	52	51	51	52	37	43	53
painters kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	76	17	18	18	20	-	17	19	20	20	17	59	48	47	50	50	50	49	44	44	45	45	43	41	41	41	48	50	46	46	48	46	36	42	65
painters malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	75	77	17	18	24	26	21	22	21	18	17	22	60	56	53	58	59	41	42	42	42	41	41	42	41	43	53	50	46	45	45	42	42	39	73	65
painters moonee ponds		-	-	-	-	-	-	94	91	-	81	76	68	16	42	46	16	16	13	17	15	13	9	14	21	20	43	36	36	36	37	37	37	38	39	39	37	46	40	38	39	41	39	41	81	35	35	25	35	39
painters sorrento		-	-	-	-	-	-	-	-	-	-	-	-	90	91	94	11	15	12	8	7	3	4	3	5	6	20	18	17	18	18	18	17	17	16	19	25	14	14	14	14	20	-	22	44	15	14	11	16	24
painters southbank		-	-	-	-	-	-	-	-	-	-	-	-	6	39	6	5	5	5	6	6	5	5	5	6	6	20	15	13	14	15	12	14	12	11	11	11	11	11	12	19	30	22	25	25	20	22	10	17	24
painters surrey hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	17	10	16	21	22	12	12	12	17	32	35	34	34	34	34	39	37	36	39	37	36	37	35	34	35	36	36	37	37	25	28	25	31	46
painters toorak		-	-	-	-	-	-	-	-	-	-	-	-	92	77	82	16	17	20	27	25	18	21	18	25	42	-	52	52	51	51	51	50	48	47	47	49	49	45	45	50	54	96	50	51	54	55	46	48	70
house painters aberfeldie		-	-	-	-	-	-	61	59	63	-	58	65	16	22	11	1	6	1	5	4	3	3	3	4	7	30	24	24	23	24	23	22	24	19	24	20	20	15	15	21	12	19	20	20	14	26	13	17	31
house painters albert park		-	-	-	-	-	-	-	-	89	-	-	-	13	12	33	12	8	13	16	11	11	10	13	15	21	44	40	40	40	39	39	40	40	39	39	40	55	40	45	42	46	46	46	48	43	45	27	38	45
house painters brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	18	17	21	18	17	12	13	22	24	68	56	52	53	56	57	43	52	52	56	51	48	48	50	77	52	61	52	54	54	53	30	50	57
house painters camberwell		-	-	-	-	-	-	-	-	89	-	-	-	79	71	76	21	26	24	26	19	-	18	17	22	34	59	55	54	54	53	49	50	44	44	42	44	44	43	42	44	67	57	56	58	56	60	59	78	83
house painters canterbury		-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	6	3	5	9	12	4	4	1	1	1	17	15	14	14	14	14	14	15	15	19	18	12	14	13	14	14	19	19	21	21	21	6	8	15
house painters east melbourne		-	-	-	-	-	-	92	92	93	70	-	-	22	13	12	10	12	14	8	7	7	6	9	9	13	40	34	30	29	33	31	27	25	23	29	-	28	30	30	27	40	41	42	42	39	39	25	74	59
house painters essendon		-	74	76	75	-	-	67	66	78	-	59	-	16	15	13	13	12	12	12	11	10	8	9	11	11	44	35	33	34	31	35	34	35	34	31	36	27	25	25	30	37	31	30	31	28	25	16	23	38
house painters glen iris		-	-	-	-	-	-	94	-	93	73	81	76	52	41	42	12	12	14	14	6	6	6	15	23	25	48	40	40	42	40	40	39	40	40	38	39	36	37	42	45	53	50	48	47	47	45	33	45	49
house painters kew		-	-	-	-	-	-	-	-	-	-	-	-	-	85	78	23	25	26	24	-	20	23	11	9	7	49	45	44	47	46	35	35	18	31	31	26	27	26	25	21	21	35	18	36	34	34	13	28	38
house painters malvern		-	-	-	-	-	-	-	-	82	-	-	-	82	89	84	10	38	16	27	20	-	19	15	14	30	57	43	41	43	-	43	43	97	82	43	43	43	40	44	49	45	48	45	45	42	42	34	43	63
house painters moonee ponds		-	-	-	-	-	-	57	59	65	75	71	63	36	25	26	16	15	15	17	15	15	11	12	12	19	38	37	37	36	37	32	38	37	37	37	36	35	34	36	50	38	38	37	36	34	36	27	40	42
house painters sorrento		-	-	-	-	-	-	-	-	95	-	-	-	51	50	47	16	15	7	2	4	2	2	3	6	6	17	12	12	12	12	12	12	12	11	13	11	11	24	11	27	14	12	10	14	20	22	12	14	23
house painters southbank		-	-	-	-	-	-	90	96	80	-	-	-	12	9	26	7	7	7	7	7	5	6	3	6	5	17	18	14	18	16	16	15	15	15	14	15	14	14	21	16	21	21	22	21	18	15	9	16	22
house painters surrey hills		-	-	-	-	-	-	-	-	-	-	-	-	67	57	58	18	6	6	13	17	8	8	6	12	30	41	37	34	37	37	37	40	81	36	36	38	37	35	38	35	37	34	37	40	31	32	25	35	39
house painters toorak		-	-	-	-	92	-	93	85	-	-	-	-	75	57	25	19	23	26	29	23	19	18	19	29	39	49	47	49	48	50	50	48	45	46	47	48	45	66	45	45	51	50	50	48	50	49	51	53	70
commercial painters abbotsford		-	-	-	-	-	-	-	-	-	-	-	-	3	-	4	1	2	2	2	2	2	2	2	2	5	19	16	14	14	14	9	9	9	8	8	8	8	7	7	9	18	13	18	14	17	20	13	19	21
commercial painters brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	9	12	15	13	8	7	5	9	11	46	42	39	41	41	41	97	41	39	40	40	39	32	33	43	40	39	40	42	42	40	20	32	42
commercial painters canterbury		-	-	-	-	-	-	-	-	-	-	-	-	14	-	70	1	1	1	3	3	1	1	1	2	1	5	3	3	4	3	4	4	4	4	4	4	4	4	4	9	4	5	4	5	22	22	3	6	12
commercial painters eltham		-	-	-	-	-	90	86	83	82	90	83	85	56	46	45	5	6	5	6	5	6	5	6	7	7	27	17	17	17	17	17	17	15	15	16	15	14	14	15	19	26	26	18	26	23	29	13	25	32
commercial painters greensborough		-	-	-	-	-	-	59	60	52	53	57	55	25	24	19	1	4	3	4	3	4	3	4	1	6	16	13	14	13	13	7	6	6	6	6	6	6	5	10	5	12	12	11	10	20	20	10	20	28
commercial painters greenvale		-	-	-	-	-	64	60	60	80	57	59	64	26	18	15	4	4	4	4	3	1	2	1	1	4	11	13	13	10	8	8	10	10	8	10	10	9	6	9	16	13	14	16	15	16	15	6	14	19
commercial painters mill park		-	-	-	-	-	91	87	81	84	87	80	81	44	39	41	3	3	3	3	3	3	2	3	2	3	16	8	8	8	8	7	7	7	7	7	6	7	7	7	7	19	20	21	12	17	13	10	15	24
commercial painters north melbourne		-	-	-	-	-	-	-	-	93	-	-	97	67	61	31	6	6	6	8	6	4	4	3	4	5	29	25	23	24	24	23	23	22	23	22	20	20	21	22	32	37	34	27	34	34	34	26	28	43
commercial painters northcote		-	-	-	-	-	-	55	58	57	59	66	57	38	34	35	9	4	6	8	4	4	4	4	5	12	21	18	16	16	16	17	18	15	16	17	17	14	25	26	24	28	31	25	27	21	27	15	26	32
commercial painters preston		-	-	-	-	-	-	-	-	-	-	-	-	67	3	56	6	7	8	8	8	6	5	3	6	7	8	5	4	4	4	4	5	3	4	3	3	3	3	3	6	7	7	7	7	-	7	7	9	19
commercial painters richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	9	9	12	9	10	10	12	8	10	10	29	28	29	28	26	18	19	31	24	18	17	17	13	13	17	24	23	19	26	25	27	19	24	29
commercial painters st kilda		-	-	-	-	-	-	85	80	84	89	94	89	-	15	55	11	9	12	12	12	12	12	10	11	12	27	30	30	30	30	35	35	34	34	30	35	33	31	32	32	37	48	40	42	44	44	23	33	43
commercial painters thomastown		-	-	-	-	-	-	61	63	58	58	64	57	6	34	28	3	4	4	5	3	4	4	5	4	5	22	15	15	13	19	14	13	12	12	13	11	14	11	13	17	21	21	17	21	17	21	9	21	29
commercial painters toorak		-	-	-	-	-	86	-	90	97	-	84	95	22	71	65	9	12	15	22	13	12	14	9	8	17	10	42	39	40	41	42	41	42	40	39	39	36	35	38	21	29	29	28	28	40	39	21	26	42
commercial painters tullamarine		-	-	-	-	-	-	49	50	52	44	43	42	22	15	14	2	2	3	4	3	3	3	2	2	2	10	8	7	7	8	19	20	21	22	20	19	19	19	21	18	23	24	34	24	22	35	17	40	43
painters hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	90	67	25	26	41	39	39	29	30	22	23	41	91	77	78	79	78	76	79	77	74	73	73	74	67	64	65	81	80	-	80	78	78	47	92	90
painters richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	22	20	24	17	18	18	14	24	24	42	33	30	72	32	28	28	28	27	34	28	36	27	28	28	37	32	32	32	33	33	25	48	52
painters st kilda		-	-	-	-	-	-	-	-	-	-	-	-	-	74	73	21	21	22	25	27	25	23	21	24	20	34	26	25	25	30	33	33	35	34	34	33	31	28	33	30	35	34	36	36	40	39	21	37	40
painters brunswick		-	-	-	-	-	-	-	-	-	-	-	-	77	64	72	18	12	13	16	17	18	15	15	20	21	53	48	45	42	92	42	42	40	38	40	38	39	37	38	38	62	37	37	38	43	43	28	46	51
painters south yarra		-	-	-	-	-	-	-	-	-	-	-	-	53	49	42	18	19	13	19	10	10	10	11	10	13	36	33	28	32	29	31	31	31	29	29	28	28	34	34	40	41	32	33	34	35	34	26	35	42
house painters hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	72	77	73	32	31	33	36	39	28	30	32	24	48	89	72	71	72	72	72	-	73	73	65	63	64	60	61	77	74	-	72	72	67	68	50	66	85
house painters richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	12	15	16	14	14	12	11	18	20	38	35	33	34	35	24	24	21	24	22	21	18	18	18	18	29	26	27	27	23	38	21	48	34
house painters st kilda		-	-	-	-	-	-	-	-	-	-	90	-	24	22	46	15	25	26	27	25	22	14	17	20	28	41	31	32	35	35	37	36	38	36	36	49	39	33	36	35	35	40	36	36	41	40	26	37	43
house painters brunswick		-	-	-	-	-	-	-	-	-	-	-	-	67	66	62	12	13	16	18	18	15	14	13	16	20	48	46	47	47	47	46	46	47	47	48	50	50	39	36	38	55	40	43	41	34	34	29	33	52
house painters south yarra		-	-	-	-	-	-	-	-	-	-	-	-	21	46	38	14	15	12	14	8	8	8	15	10	12	28	26	27	26	27	27	26	25	27	27	26	26	24	22	23	25	24	33	25	26	27	18	26	38
commercial painters hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	77	72	67	22	24	24	23	23	15	11	16	20	30	-	35	36	36	36	36	36	33	33	36	37	37	33	32	39	38	39	40	43	40	43	23	38	46
commercial painters brunswick		-	-	-	-	-	-	-	-	-	-	-	-	66	53	53	8	5	6	8	7	5	5	4	15	9	46	37	35	35	34	35	33	35	31	32	33	33	38	38	34	39	39	37	40	36	36	20	31	37
commercial painters south yarra		-	-	-	-	-	-	-	-	-	-	97	-	60	47	30	6	8	6	6	4	4	4	7	6	5	25	18	17	18	18	19	21	20	21	21	20	20	20	20	23	22	22	22	22	21	22	13	21	29
commercial painters kew		-	-	-	-	-	-	-	-	-	-	-	94	-	67	68	13	8	8	11	4	4	7	7	7	9	40	37	35	37	37	37	35	34	35	35	26	34	26	30	27	37	36	43	39	30	30	23	34	40
commercial painters malvern		-	-	-	-	-	-	-	-	-	-	85	-	68	54	59	8	5	11	13	12	13	15	12	13	13	31	26	27	26	26	30	26	26	24	24	20	20	19	16	27	13	20	35	33	21	37	5	24	28