		2023-05-30	2023-06-15	2023-07-13	2023-08-17	2023-09-15	2023-10-18	2023-10-26	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-14	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
emergency plumber melbourne		-	-	56	17	16	18	18	24	30	14	20	24	23	24	25	26	22	93	85	79
24 hour plumber melbourne		-	-	73	58	18	44	39	53	42	19	54	57	59	56	51	43	44	-	-	-
24 7 plumber melbourne		-	-	54	61	15	12	12	14	25	13	28	-	31	33	37	37	34	-	-	98
emergency plumber melbourne cbd		-	-	17	19	14	11	11	14	17	14	18	23	20	20	29	33	31	41	43	44
24 hour emergency plumber melbourne		-	-	59	47	20	18	21	27	53	14	62	59	57	73	52	54	50	-	-	-
Emergency Plumber Geelong		-	-	26	19	18	18	17	18	18	22	27	17	26	32	34	25	23	73	59	68
Emergency Plumber Yarraville		-	-	14	14	6	8	7	9	10	12	13	17	18	20	17	17	25	41	43	46
Emergency Plumber Essendon		-	-	20	11	8	9	8	18	22	46	23	21	23	25	16	24	20	54	66	80
Emergency Plumber St Kilda		-	-	25	20	18	19	20	26	24	22	26	21	28	28	19	31	27	62	58	67
Emergency Plumber Brighton		-	-	16	11	8	7	8	8	16	14	17	11	22	22	11	12	31	-	-	-
Emergency Plumber Maribyrnong		-	-	11	8	8	7	6	7	9	7	8	8	10	9	9	7	15	44	31	37
Emergency Plumber Sunshine		-	-	11	9	6	11	9	11	10	15	14	17	15	15	15	18	24	36	58	37
Emergency Plumber Caroline Springs		-	-	22	21	6	5	5	7	8	7	8	7	11	14	8	8	19	29	30	31
Emergency Plumber Footscray		-	-	19	19	11	11	11	21	18	14	16	20	18	17	15	11	27	50	53	50
Emergency Plumber Elwood		-	-	17	18	10	8	10	9	9	8	6	14	12	15	9	9	26	44	51	52
Emergency Plumber Melton		-	-	10	15	8	12	13	18	16	15	19	17	17	16	13	14	20	40	42	40
Emergency Plumber St Albans		-	-	8	9	6	5	5	10	8	8	7	7	11	7	7	7	16	32	28	34
Emergency Plumber Moonee Ponds		-	-	20	21	13	17	15	21	14	18	15	21	20	23	18	18	26	52	44	42
Emergency Plumber Ascot Vale		-	-	23	23	18	19	17	22	15	13	21	12	15	16	13	16	16	32	29	30
Emergency Plumber Point Cook		-	-	12	10	7	6	6	6	5	5	5	4	5	5	5	5	7	23	27	29
Emergency Plumber Werribee		-	-	18	16	13	13	14	17	16	12	15	20	16	16	13	12	22	39	36	40
Emergency Plumber Hoppers Crossing		-	-	17	13	13	15	11	18	18	19	19	20	22	21	12	12	22	27	34	37
Emergency Plumber Tarneit		-	-	13	13	7	7	8	11	10	9	10	7	8	8	8	7	9	35	31	35
Emergency Plumber Truganina		-	-	10	11	8	8	7	9	10	9	10	14	10	10	5	4	11	30	25	28
Emergency Plumber Hillside		-	-	12	13	12	10	12	10	13	13	10	15	4	5	4	7	4	26	29	34
Blocked Drains Geelong		-	-	28	23	15	24	24	30	36	38	37	36	36	37	31	31	33	57	62	60
Blocked Drains Yarraville		-	-	9	6	1	1	1	1	4	1	1	6	5	5	3	3	5	27	31	33
Blocked Drains Essendon		-	-	9	8	6	8	8	14	15	14	15	14	11	15	17	14	12	37	48	44
Blocked Drains St Kilda		-	-	13	11	8	9	8	13	9	11	14	7	9	14	17	13	19	48	51	49
Blocked Drains Brighton		-	-	17	13	10	13	14	16	15	17	16	16	25	25	22	20	22	59	60	85
Blocked Drains Maribyrnong		-	-	2	1	1	1	1	2	1	2	2	2	2	2	1	1	2	12	16	24
Blocked Drains Sunshine		-	-	30	18	15	5	5	8	7	7	6	8	9	8	7	7	9	52	63	79
Blocked Drains Caroline Springs		-	-	4	3	3	1	2	2	2	1	1	1	1	2	3	3	2	13	26	28
Blocked Drains Footscray		-	-	-	15	3	7	1	12	12	9	10	10	10	12	3	3	3	19	28	37
Blocked Drains Elwood		-	-	9	9	6	8	7	13	5	3	4	8	7	6	4	6	9	35	43	46
Blocked Drains Melton		-	-	7	10	9	10	8	7	7	6	5	8	8	9	4	7	13	40	41	41
Blocked Drains St Albans		-	-	2	3	2	1	1	2	1	1	1	1	1	2	1	1	1	9	15	24
Blocked Drains Moonee Ponds		-	-	10	5	4	4	3	4	5	4	7	7	6	9	7	6	25	43	68	56
Blocked Drains Ascot Vale		-	-	13	7	7	9	7	12	16	17	13	19	17	20	11	14	16	43	42	47
Blocked Drains Point Cook		-	-	25	19	20	7	4	8	4	6	7	8	8	7	6	6	10	35	33	38
Blocked Drains Werribee		-	-	17	13	8	8	8	12	14	14	12	19	13	15	10	9	12	48	52	47
Blocked Drains Hoppers Crossing		-	-	11	5	3	5	3	2	2	2	1	2	2	2	2	2	2	19	35	41
Blocked Drains Tarneit		-	-	12	12	1	1	1	5	4	4	5	1	7	3	5	3	6	18	21	36
Blocked Drains Truganina		-	-	7	1	1	1	1	4	3	5	3	4	5	5	1	1	1	14	16	27
Blocked Drains Hillside		-	-	6	7	8	6	6	10	11	8	10	10	11	9	9	9	10	25	25	35
Hot Water Geelong		-	-	53	49	40	56	53	31	36	37	37	39	37	50	51	55	45	97	-	-
Hot Water Yarraville		-	-	9	6	6	8	8	14	16	16	14	14	16	20	13	11	15	37	33	32
Hot Water Essendon		-	-	9	12	11	11	9	16	19	20	20	21	24	24	12	17	19	27	30	29
Hot Water St Kilda		-	-	12	21	9	8	9	11	17	13	16	15	14	20	17	16	14	33	38	-
Hot Water Brighton		-	-	8	12	7	10	8	18	22	18	19	22	20	34	28	38	33	59	54	-
Hot Water Maribyrnong		-	-	7	7	5	6	7	9	7	8	9	8	9	10	6	8	11	27	29	30
Hot Water Sunshine		-	-	83	86	81	92	91	25	16	76	46	57	67	70	76	15	-	-	-	-
Hot Water Caroline Springs		-	-	41	15	13	11	8	14	14	16	16	17	18	21	12	11	18	35	39	33
Hot Water Footscray		-	-	9	11	6	13	12	21	25	22	22	36	20	17	19	18	19	38	41	42
Hot Water Elwood		-	-	5	7	6	8	4	11	11	11	9	13	11	10	11	8	8	20	26	24
Hot Water Melton		-	-	12	14	12	17	12	18	25	23	22	28	20	22	10	10	11	35	31	22
Hot Water St Albans		-	-	6	6	5	7	7	12	10	10	8	10	7	10	7	4	8	33	28	37
Hot Water Moonee Ponds		-	-	5	4	4	5	4	5	6	7	7	9	9	11	5	7	9	25	32	44
Hot Water Ascot Vale		-	-	8	10	9	10	9	18	14	14	12	11	16	12	10	9	15	34	42	39
Hot Water Point Cook		-	-	10	15	5	11	9	6	6	5	9	8	6	7	7	8	9	36	40	39
Hot Water Werribee		-	-	15	10	10	10	10	16	19	17	12	9	9	10	10	12	17	37	48	35
Hot Water Hoppers Crossing		-	-	12	9	7	15	13	21	20	20	20	21	22	25	15	14	15	33	43	37
Hot Water Tarneit		-	-	9	7	11	11	9	13	13	18	15	14	7	10	15	15	15	31	32	31
Hot Water Truganina		-	-	7	8	9	10	9	11	11	6	6	6	6	7	4	5	5	25	30	27
Hot Water Hillside		-	-	44	8	3	4	4	6	7	3	3	8	6	7	4	7	8	32	13	21
Plumbers Geelong		-	-	-	-	-	-	91	86	73	-	90	28	69	74	59	68	75	-	-	-
Plumbers Yarraville		-	-	-	-	-	-	47	39	39	35	33	42	32	35	23	24	30	55	57	71
Plumbers Essendon		-	-	-	-	-	-	56	66	52	62	63	63	41	67	63	35	46	-	-	-
Plumbers St Kilda		-	-	-	-	-	-	63	63	64	47	44	38	44	43	44	43	52	-	-	-
Plumbers Brighton		-	-	-	-	-	-	-	-	44	43	48	84	90	52	41	41	-	-	-	-
Plumbers Maribyrnong		-	-	-	-	-	-	23	34	32	32	27	24	29	33	28	23	34	51	52	51
Plumbers Sunshine		-	-	-	-	-	-	40	22	23	22	24	26	31	30	29	40	53	-	-	-
Plumbers Caroline Springs		-	-	-	-	-	-	22	24	25	22	27	20	15	24	21	24	25	48	62	64
Plumbers Footscray		-	-	-	-	-	-	40	35	42	34	36	31	40	42	38	24	41	68	75	86
Plumbers Elwood		-	-	-	-	-	-	35	35	26	34	36	33	35	32	23	33	40	72	68	74
Plumbers Melton		-	-	-	-	-	-	45	58	56	57	62	40	40	43	38	66	41	79	85	91
Plumbers St Albans		-	-	-	-	-	-	35	22	22	21	23	21	25	26	20	19	38	-	68	88
Plumbers Moonee Ponds		-	-	-	-	-	-	26	40	32	37	37	35	44	44	43	50	55	93	67	86
Plumbers Ascot Vale		-	-	-	-	-	-	39	34	34	35	37	45	40	40	23	17	23	44	72	64
Plumbers Point Cook		-	-	-	-	-	-	20	19	16	35	33	37	28	22	25	23	19	34	51	64
Plumbers Werribee		-	-	-	-	-	-	42	51	38	34	28	34	35	40	42	36	42	-	92	85
Plumbers Hoppers Crossing		-	-	-	-	-	-	38	35	35	34	35	37	38	41	35	34	31	68	66	72
Plumbers Tarneit		-	-	-	-	-	-	21	28	28	26	27	28	27	28	23	25	25	38	60	45
Plumbers Truganina		-	-	-	-	-	-	17	26	29	22	24	22	22	26	25	19	24	34	37	29
Plumbers Hillside		-	-	-	-	-	-	18	23	25	27	25	24	27	18	18	25	31	41	37	34